@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,9,true,2,102,4954,0,0.009709,1.098612,2,2,1,0.317419,0.310968,0.375484,0.325714,0.217143,0.457143,true,2,1,0.5,0.693147,0.5,true,0.784615,0.741538,1.785714,0.417647,-0.178692,0.285,0.784615,0.741538,7,0.864286,0.405465,0.285,1,0,0,fold
0,0,1,10,true,1,105,4953,0,0.009434,0.693147,2,2,1,0.33875,0.30125,0.36375,0.356364,0.207273,0.436364,true,1,0,0,0,0,false,0.728571,0.688571,1.785714,0.405714,-0.178692,0.285,0.8,0.76,7.2,0.868966,0.412245,0.285,0,0,1,raise
0,0,1,10,true,3,109,4951,0,0.009091,1.386294,2,2,1,0.328485,0.292121,0.38303,0.34087,0.198261,0.46087,true,3,1,0.333333,0.693147,0.333333,true,0.8,0.76,1.857143,0.422222,-0.17185,0.285,0.8,0.76,7.4,0.873333,0.398908,0.285,0,1,0,call
0,0,2,11,false,0,112.5,4949.5,-0.693147,0.004425,0,2,2,1,0.338286,0.304,0.361143,0.326667,0.231667,0.441667,true,0,0,0,0,0,false,0.746667,0.709333,1.733333,0.4,-0.206336,0.253333,0.746667,0.709333,7.6,0.877419,0.424883,0.253333,0,1,0,call
0,0,1,12,true,1,152,4968,0,0.006536,0.693147,2,2,1,0.28878,0.308293,0.405854,0.3136,0.2624,0.424,true,1,0,0,0,0,false,0.7625,0.665,1.823529,0.448889,-0.167054,0.228,0.7625,0.7275,6.285714,0.851282,0.336472,0.228,0,0,1,raise
0,0,1,12,true,3,156,4966,0,0.006369,1.386294,2,2,1,0.281905,0.300952,0.42,0.301538,0.252308,0.446154,true,3,1,0.333333,0.693147,0.333333,true,0.825,0.7275,1.882353,0.46087,-0.162519,0.228,0.7625,0.7275,6.428571,0.855,0.328504,0.228,0,1,0,call
0,0,2,13,false,0,159.5,4964.5,-0.693147,0.003125,0,2,2,1,0.291818,0.31,0.400909,0.29037,0.28,0.42963,true,0,0,0,0,0,false,0.776471,0.684706,1.777778,0.441667,-0.187212,0.207273,0.717647,0.684706,6.571429,0.858537,0.348307,0.207273,0,0,1,raise
0,0,1,13,true,2,163,4963,0,0.006098,1.098612,2,2,1,0.285333,0.303111,0.414222,0.28,0.27,0.45,true,2,1,0.5,0.693147,0.5,true,0.835294,0.743529,1.833333,0.453061,-0.170345,0.207273,0.776471,0.743529,6.714286,0.861905,0.340326,0.207273,0,1,0,call
0,0,1,14,true,1,168,4961,0,0.005917,0.693147,2,2,1,0.294468,0.311489,0.396596,0.270345,0.295172,0.434483,true,1,0,0,0,0,false,0.788889,0.702222,1.736842,0.435294,-0.194156,0.19,0.788889,0.757778,7,0.868182,0.364643,0.19,0,0,1,raise
0,0,1,14,true,3,172,4959,0,0.00578,1.386294,2,2,1,0.288333,0.305,0.409167,0.261333,0.285333,0.453333,true,3,1,0.333333,0.693147,0.333333,true,0.844444,0.757778,1.789474,0.446154,-0.189242,0.19,0.788889,0.757778,7.142857,0.871111,0.356675,0.19,0,1,0,call
0,0,2,15,false,0,196.5,4976.5,-0.693147,0.002538,0,2,2,1,0.261132,0.351698,0.389434,0.252903,0.308387,0.43871,true,0,0,0,0,0,false,0.8,0.717895,1.565217,0.434483,-0.252702,0.175385,0.747368,0.717895,7.714286,0.881633,0.37763,0.175385,0,1,0,call
0,0,1,16,true,1,201,4975,0,0.00495,0.693147,2,2,1,0.269818,0.357091,0.375273,0.245,0.33,0.425,true,1,0,0,0,0,false,0.81,0.682,1.5,0.42,-0.262364,0.162857,0.76,0.732,8,0.886275,0.397683,0.162857,0,1,0,call
0,0,2,17,false,0,231.5,4991.5,-0.693147,0.002155,0,2,2,1,0.247333,0.377333,0.377333,0.237576,0.350303,0.412121,true,0,0,0,0,0,false,0.819048,0.649524,1.518519,0.444118,-0.206336,0.152,0.72381,0.697143,7.5,0.878571,0.31667,0.152,0,0,1,raise
0,0,1,17,true,2,235,4990,0,0.004237,1.098612,2,2,1,0.243279,0.371148,0.387541,0.230588,0.34,0.429412,true,2,1,0.5,0.693147,0.5,true,0.866667,0.697143,1.555556,0.452174,-0.194156,0.152,0.771429,0.744762,7.625,0.880702,0.311436,0.152,1,0,0,fold
0,0,1,18,true,1,238,4989,0,0.004184,0.693147,2,2,1,0.255484,0.365161,0.38129,0.252571,0.330286,0.417143,true,1,0,0,0,0,false,0.827273,0.665455,1.555556,0.445714,-0.194156,0.152,0.781818,0.756364,7.75,0.882759,0.315853,0.152,0,0,1,raise
