@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,12,1,158,4965,0,0.006289,0,2,2,1,0.275349,0.317209,0.410233,0.484444,0.351111,0.164444,false,4,1,0,0.25,0.693147,0.25,false,0.825,0.7275,1.777778,0.451064,-0.187212,0.207273,0.7625,0.7275,6.571429,0.858537,0.348307,0.207273,1,0,0,fold
0,0,1,flop,13,1,165,4962,0,0.006024,0,2,2,1,0.27913,0.318261,0.405217,0.536,0.316,0.148,false,3,1,0,0.333333,0.693147,0.333333,false,0.835294,0.743529,1.736842,0.444,-0.194156,0.19,0.776471,0.743529,6.857143,0.865116,0.359374,0.19,1,0,0,fold
0,0,1,flop,14,1,174,4958,0,0.005714,0,2,2,1,0.282449,0.319184,0.400816,0.578182,0.287273,0.134545,false,4,1,0,0.25,0.693147,0.25,false,0.844444,0.757778,1.7,0.437736,-0.21197,0.175385,0.788889,0.757778,7.285714,0.873913,0.374693,0.175385,0,1,0,call
0,0,1,turn,14,1,177,4957,0.693147,0.011173,0.693147,2,2,1,0.2768,0.3328,0.3928,0.235556,0.497778,0.266667,false,5,1,0,0.2,0.693147,0.166667,false,0.844444,0.757778,1.619048,0.42963,-0.234193,0.175385,0.788889,0.757778,7.428571,0.876596,0.409785,0.175385,0,1,0,call
0,0,1,river,14,2,185,4953,0.693147,0.010695,1.386294,2,2,1,0.271373,0.345882,0.385098,0.424,0.24,0.336,true,7,2,1,0.285714,1.386294,0.3,true,0.844444,0.757778,1.590909,0.432143,-0.223144,0.175385,0.788889,0.757778,7.571429,0.879167,0.393043,0.175385,0,0,1,raise
0,0,1,river,14,4,193,4949,0.693147,0.010256,2.079442,2,2,1,0.266154,0.339231,0.396923,0.385455,0.218182,0.396364,true,9,3,2,0.333333,1.791759,0.357143,true,0.844444,0.757778,1.636364,0.442105,-0.213093,0.175385,0.788889,0.757778,7.714286,0.881633,0.37763,0.175385,0,1,0,call
0,0,1,flop,15,1,198,4976,0,0.005025,0,2,2,1,0.256296,0.363704,0.382222,0.53,0.346667,0.123333,false,1,0,0,0,0,0,false,0.852632,0.717895,1.5,0.427119,-0.262364,0.162857,0.747368,0.717895,7.857143,0.884,0.393631,0.162857,1,0,0,fold
0,0,1,flop,16,2,205,4973,0,0.004854,0.693147,2,2,1,0.265,0.368571,0.368571,0.566154,0.32,0.113846,true,3,1,1,0.333333,0.693147,0.333333,true,0.86,0.682,1.48,0.422581,-0.25672,0.152,0.76,0.732,8.142858,0.888462,0.390198,0.152,0,0,1,raise
0,0,1,flop,16,4,209,4971,0,0.004762,1.386294,2,2,1,0.260351,0.362105,0.379649,0.525714,0.297143,0.177143,true,5,2,2,0.4,1.098612,0.4,true,0.86,0.682,1.52,0.431746,-0.251314,0.152,0.76,0.732,8.285714,0.890566,0.382992,0.152,0,1,0,call
0,0,1,turn,16,2,216,4968,0.693147,0.009174,1.386294,2,2,1,0.255862,0.373103,0.373103,0.212,0.548,0.24,true,7,3,1,0.428571,1.609438,0.444444,true,0.86,0.682,1.5,0.433846,-0.223144,0.152,0.76,0.732,8.428572,0.892593,0.36936,0.152,0,0,1,raise
0,0,1,turn,16,4,224,4964,0.693147,0.00885,2.079442,2,2,1,0.251525,0.36678,0.383729,0.192727,0.498182,0.309091,true,9,4,2,0.444444,1.94591,0.461538,true,0.86,0.682,1.538462,0.442424,-0.21441,0.152,0.76,0.732,8.571428,0.894545,0.356675,0.152,0,1,0,call
