 Kd 8d Th Qd Qc] [ Qh Ts Qs 4c 8c As 7s Jd 7c Js Ad Ac Ah 6c Kh Ks 7h 5s 9s Jc 8s 9h 3s 8h 6h 9c 7d 4h 3h 4d 5h Tc 5c Kc 2c 6d 3c 9d Td 6s 4s Jh 5d 3d 2s 2h 2d];[Qc, Qd, Th, Qh, null];null;null;b1[c:18,12] Hero[r:9,72] b1[f:18,12] ;null;Hero{6} ;6;b1[5h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 2c 6c 8h 3s Qs 7h 5s Jd 7d 7s Jh 4s Ts Ac 9d 3c 2d Td Kh Ad 6d Tc 5h Js 7c 4c Jc As Kc 6s 9c Ah 6h Qh 5d 3d 8s 4h 5c Ks 9s 2s 9h 2h 3h 4d];[Qc, Qd, Th, 8c, null];null;null;b1[c:18,12] Hero[r:9,72] b1[f:69,23] ;null;Hero{6} ;6;b1[6s, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kh 8s Qs 4h 9d 9h 6h 6c Ah 6d 5c 9s 8c 5s Tc 2h Td 3h Qh 7s Ks 8h 7c Js 4s As Ts 7h 2c Ac 5h Jh 9c Ad Jc Jd 4d 2s 3d Kc 7d 3c 5d 6s 3s 4c 2d];[Qc, Qd, Th, Kh, null];null;null;b1[c:16,57] Hero[r:9,72] b1[f:69,23] ;null;Hero{6} ;6;b1[3s, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 8s Jh Jc Td Ts 9d 7d 7c 2c 5c 4d 3c 4c Qh Qs 8h 2h 5d Kh 7h 7s 3d 6c 2s 9c 6s Ks Ad Ac 3h 2d 6h 4s 3s 9h Kc 9s Tc As 5h Ah Js 6d Jd 5s 8c];[Qc, Qd, Th, 4h, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{4} ;-4;b1[Ts, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5d 8h 2d Tc Qs 6c 4h Ac Jd Td Ad 9s 5s 7s 3h 7h 7d 3c 9c 8s 4d As 7c Jc 9h 5h 6d Js Ah Qh Jh 2h 3s 6h Ks Kh Kc 2s Ts 5c 2c 9d 8c 3d 6s 4c 4s];[Qc, Qd, Th, 5d, 8h];null;null;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;Hero(10) ;10;b1[8c, 9c]12857;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 7c 3d Ad Kc 9d Tc 6s Jc 4s Jh 2s 7h 8h Ts 6c 3h 8c 7d Td 2d 2h 5d 4h 8s 6d Js 7s Ah 2c 5h 3c 5s Kh Ks Qs 9c Qh As 3s 9h 4d 9s Ac 4c 6h 5c Jd];[Qc, Qd, Th, 7c, null];null;null;b1[c:18,12] Hero[r:0,36] b1[f:69,23] ;null;Hero{6} ;6;b1[Ks, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc Jc Kc 9s 6c Jh Ts 6s 6h 2s 2h 7c 9h As 3d 4d 9c Js Qh 5h 2d Ac 7h 9d 8h 6d 2c 5s 4s 8s 3s Ah 4c Ad Kh Jd 3c 7s 4h Ks 3h 5c 7d 5d 8c Td Qs];[Qc, Qd, Th, Tc, Jc];null;null;b1[c:18,12] Hero[c:0,36] ;b1[r:18,51] Hero[f:88,11] ;{4} ;-4;b1[Jh, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d Jd Qs 8c 8s 8h 5d Ah As Qh 3s 9s Jc 5c 4d Kh 3h 5h 6c 2d Ac 6d Kc 4h 2h 3d 3c 9h Ks 4c 5s 4s 7d 9c 6s Js 7h Td Tc Ad 7c 6h 2s 2c 7s Jh Ts];[Qc, Qd, Th, 9d, Jd];null;null;b1[c:18,12] Hero[r:0,36] b1[c:16,57] ;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{10} ;10;b1[5h, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh Js Ac As Tc 5s 3s 6d 8c 8s 8h 3c 6s 7s Qs 5h Ks 2h 6c 4h Kc 9s 9h 5d 6h Td 5c 3h 2d Qh Ah 7h Jc 2s 4d Kh Ad Ts 2c 4s 7c 3d Jd 9c 7d 4c 9d];[Qc, Qd, Th, Jh, Js];null;null;b1[r:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(18) ;-8;b1[9s, Jh]28790;b2;Hero[8d, Kd]12892;b0
 Kd 8d Th Qd Qc] [ 3c Qs Jc Ad Qh 2h Kc 8h Ks 7h 2s 4d 4h 5s 9c 6c 9d 5d 7d 3d 5h Ts 7s 6s 3s 5c 7c Jd 4s 8c Tc Ac 2c 8s 2d As 9h Kh Ah 4c 9s 6h 3h 6d Js Td Jh];[Qc, Qd, Th, 3c, Qs];null;null;b1[c:18,12] Hero[c:0,36] ;b1[r:18,51] Hero[f:88,11] ;{4} ;-4;b1[3h, Kh];b2;Hero[8d, Kd];b0
